"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.GAGNON","2010-2011","DAL","C",19,142.23,0,2,2,0,0.84,0,1.64,0.69,127,121,6,51.21,3.14,3,6,-3,33.33,-11.98,5.83,4.84,0.99,54.64,7.76,1,0,-1,25,10.55,0.84,0.35,0,97.67,48.05,16.25,26.44,44.92,28.06,50.72
"AARON.GAGNON","2011-2012","WPG","C",7,65.34,0,0,0,0,0,0,1.17,1.07,72,58,14,55.38,8.63,0,1,-1,0,-45.45,2.89,2.15,0.74,57.34,13.51,0,0,0,12,11.02,0.54,0.5,0,96.55,58.06,18.74,29.44,50.29,28.08,48.46
"AARON.JOHNSON","2008-2009","CHI","D",38,440.84,2,4,6,3,0.82,0.41,9.27,1.26,359,331,28,52.03,-2.4,23,10,13,69.7,16.45,13.95,12.84,1.11,52.07,-0.78,11,5,-6,53,7.21,1.13,0.15,8.7,106.63,51.11,26.71,26.9,54.29,28.6,50.11
"AARON.JOHNSON","2009-2010","CGY/EDM","D",41,538.09,2,4,6,5,0.67,0.56,1.98,0.22,465,548,-83,45.9,-0.82,18,25,-7,41.86,-12.43,19.2,23.01,-3.81,45.49,-0.46,11,5,-6,70,7.81,1.55,0.17,6.9,98.44,44.85,28.86,26.44,46.68,28.36,49.28
"AARON.JOHNSON","2011-2012","CBJ","D",56,773.43,2,12,14,7,1.09,0.54,10.97,0.85,638,708,-70,47.4,-0.68,29,37,-8,43.94,-0.89,31,28.26,2.74,52.31,3.2,5,7,2,93,7.21,2.05,0.16,4.08,98.55,44.12,29.4,26.77,47.16,28.84,50.18
"AARON.MACKENZIE","2008-2009","COL","D",5,64.25,0,0,0,0,0,0,1.32,1.23,55,45,10,55,14.79,1,0,1,100,50,2.35,1.54,0.81,60.41,18.48,0,1,1,8,7.47,0.31,0.29,0,103.23,51.85,26.55,25.12,45.84,27.65,49.07
"AARON.NESS","2011-2012","NYI","D",9,143.99,0,0,0,0,0,0,-0.98,-0.41,107,148,-41,41.96,-4.96,3,3,0,50,23.68,4.46,5.49,-1.03,44.82,-4.39,1,0,-1,16,6.67,0.31,0.13,0,102.63,51.47,31.8,28.15,47.29,29.15,50.3
"AARON.PALUSHAJ","2011-2012","MTL","R",38,282.68,1,4,5,2,1.06,0.42,9.94,2.11,294,235,59,55.58,8.36,8,7,1,53.33,5.15,9.27,8.46,0.81,52.28,5.91,5,8,3,69,14.65,2.24,0.48,2.7,100.21,48.46,16.21,26.56,46.86,27.63,48.95
"AARON.ROME","2008-2009","CBJ","D",8,109.9,0,1,1,1,0.55,0.55,2.7,1.47,96,72,24,57.14,9.63,4,3,1,57.14,4.97,3.85,2.9,0.95,57.04,7.72,0,0,0,13,7.1,0.26,0.14,0,98.81,74.14,27.88,25.96,51.46,28.59,50.35
"AARON.ROME","2009-2010","VAN","D",49,644.38,0,4,4,1,0.37,0.09,5.88,0.55,580,577,3,50.13,-1.39,22,30,-8,42.31,-13.34,22.32,24.42,-2.1,47.75,-2.53,9,4,-5,102,9.5,1.59,0.15,0,97.48,42.9,29.43,28.13,51.63,28.82,49.45
"AARON.ROME","2010-2011","VAN","D",56,819.1,0,1,1,1,0.07,0.07,4.08,0.3,717,723,-6,49.79,-4.52,28,28,0,50,-4.35,30.74,33.25,-2.51,48.04,-4.98,16,2,-14,96,7.03,2.25,0.16,0,100.8,44.76,31.38,27.22,52.06,28.8,49.43
"AARON.ROME","2011-2012","VAN","D",43,581.82,3,3,6,3,0.62,0.31,7.49,0.77,520,520,0,50,-3.85,16,20,-4,44.44,-14.81,21.05,21.21,-0.16,49.81,0.9,13,7,-6,91,9.38,1.49,0.15,9.38,98.4,42.76,28.39,27.13,52.12,28.17,49.52
"AARON.VOLPATTI","2010-2011","VAN","L",15,97.28,1,1,2,2,1.23,1.23,1,0.62,72,84,-12,46.15,-8.99,2,3,-1,40,-23.46,2.66,3.22,-0.56,45.24,-5.48,5,3,-2,11,6.78,0.28,0.17,16.67,97.05,37.93,14.03,26.14,48.01,27.41,48.02
"AARON.VOLPATTI","2011-2012","VAN","L",23,202.92,1,0,1,1,0.3,0.3,0.22,0.07,151,190,-39,44.28,-13.59,5,6,-1,45.45,-9.34,4.48,6.32,-1.84,41.48,-14.45,9,8,-1,35,10.35,1.08,0.32,5.88,100.47,21.52,19.32,26.82,48.81,27.55,48.74
"AARON.VOROS","2008-2009","NYR","L",54,504.27,5,8,13,11,1.55,1.31,15.38,1.83,493,409,84,54.66,2.72,19,22,-3,46.34,2.16,23.18,23.32,-0.14,49.85,-1.56,31,22,-9,81,9.64,4.72,0.56,10.42,97.82,60.44,21.13,29.75,51.53,28.58,49.84
"AARON.VOROS","2009-2010","NYR","L",41,247.82,2,3,5,5,1.21,1.21,1.63,0.39,185,249,-64,42.63,-8.09,7,10,-3,41.18,-11.97,6.95,10.22,-3.27,40.48,-10.34,22,17,-5,36,8.72,1.51,0.37,9.52,99.6,49.5,13.31,27.22,49.01,27.78,48.82
"AARON.VOROS","2010-2011","ANA","L",12,66.32,0,0,0,0,0,0,-0.49,-0.44,53,61,-8,46.49,4.39,1,5,-4,16.67,-27.78,2.02,2.61,-0.59,43.63,5.86,8,7,-1,10,9.05,0.59,0.53,0,86.67,63.41,12.25,24.87,44.17,27.77,50.33
"AARON.WARD","2008-2009","BOS","D",64,991.48,2,4,6,3,0.36,0.18,9.35,0.57,862,880,-18,49.48,-2.24,37,32,5,53.62,-6.25,33.48,35.89,-2.41,48.26,-4.26,17,3,-14,107,6.48,1.69,0.1,4.76,101.28,44.9,33.81,28.08,51.05,29.45,49.57
"AARON.WARD","2009-2010","CAR/ANA","D",76,1087.61,1,9,10,2,0.55,0.11,4.55,0.25,958,1058,-100,47.52,-2.62,39,56,-17,41.05,-9.23,37.56,47.45,-9.89,44.18,-5.18,21,9,-12,102,5.63,1.5,0.08,2.94,97.95,49.54,31.64,28.02,49.1,28.76,49.28
"ADAM.BURISH","2008-2009","CHI","R",66,468,6,3,9,8,1.15,1.03,15.58,2,384,327,57,54.01,-1.96,16,11,5,59.26,5.54,17.33,13,4.33,57.14,3.7,22,18,-4,94,12.05,6.28,0.81,8.11,100.96,56.15,16.11,26.48,52.17,27.69,49.53
"ADAM.BURISH","2009-2010","CHI","R",13,112.12,1,3,4,3,2.14,1.61,4.01,2.15,104,111,-7,48.37,-9.26,6,4,2,60,12,4.94,4.89,0.05,50.25,-8.24,4,6,2,19,10.17,1.18,0.63,11.11,103.17,52.94,18.49,27.73,54.64,27.97,48.96
"ADAM.BURISH","2010-2011","DAL","R",63,743.65,7,6,13,10,1.05,0.81,9.98,0.81,583,716,-133,44.88,-2.57,23,23,0,50,-4.24,21.58,25.12,-3.54,46.21,-2,24,16,-8,130,10.49,6.67,0.54,8.54,100.77,31.83,25.78,29.27,48.3,29.08,50.13
"ADAM.BURISH","2011-2012","DAL","R",65,686.11,5,10,15,11,1.31,0.96,16.22,1.42,611,623,-12,49.51,0.47,21,21,0,50,2.38,20.1,22.21,-2.11,47.51,0.31,15,15,0,125,10.93,5.99,0.52,6.76,100.47,42.89,22.39,28.87,50.55,28.5,49.93
"ADAM.CRACKNELL","2010-2011","STL","R",24,206.47,3,4,7,6,2.03,1.74,6.21,1.8,174,185,-11,48.47,-2.63,10,9,1,52.63,0.5,5.63,7.6,-1.97,42.55,-11.05,3,2,-1,44,12.79,1.79,0.52,13.04,101.25,59.63,17.55,26.38,50.53,27.74,49.44
"ADAM.FOOTE","2008-2009","COL","D",42,628,1,4,5,2,0.48,0.19,-3.42,-0.33,470,609,-139,43.56,-3.21,19,30,-11,38.78,-6.32,20.12,25.63,-5.51,43.98,-5.69,13,2,-11,39,3.73,0.88,0.08,5.88,97.95,38.65,33.48,28.31,46.94,29.76,51.08
"ADAM.FOOTE","2009-2010","COL","D",67,1058,0,5,5,2,0.28,0.11,-5.03,-0.29,836,1088,-252,43.45,-2.33,47,45,2,51.09,-0.2,35.54,44.31,-8.77,44.51,-4.57,18,9,-9,73,4.14,1.25,0.07,0,102.5,48.58,34.01,28.1,45.53,29.28,50.17
"ADAM.FOOTE","2010-2011","COL","D",47,679.37,0,7,7,2,0.62,0.18,-2.03,-0.18,535,696,-161,43.46,-4.76,24,36,-12,40,-9.15,26.65,27.54,-0.89,49.18,-1.95,10,8,-2,38,3.36,1.07,0.09,0,98.64,40.93,31.02,27.95,48.79,29.03,49.85
