"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.DOWNEY","2007-2008","DET","R",56,253.35,0,2,2,2,0.47,0.47,0.92,0.22,193,183,10,51.33,-7.3,6,6,0,50,-12.5,7.16,7.76,-0.6,47.99,-10.26,31,15,-16,22,5.21,0.94,0.22,0,99.8,81.97,10.37,26.06,57.52,27.06,48.87
"AARON.GAGNON","2010-2011","DAL","C",19,142.23,0,2,2,0,0.84,0,1.64,0.69,127,121,6,51.21,3.14,3,6,-3,33.33,-11.98,5.83,4.84,0.99,54.64,7.76,1,0,-1,25,10.55,0.84,0.35,0,97.67,48.05,16.25,26.44,44.92,28.06,50.72
"AARON.JOHNSON","2007-2008","NYI","D",30,333.07,0,1,1,0,0.18,0,1.12,0.2,287,304,-17,48.56,-3.26,15,11,4,57.69,11.86,10.32,12.64,-2.32,44.95,-7.15,13,4,-9,33,5.94,0.67,0.12,0,103.3,51.55,25.42,26.9,50.71,28.57,48.82
"AARON.JOHNSON","2008-2009","CHI","D",38,440.84,2,4,6,3,0.82,0.41,9.27,1.26,359,331,28,52.03,-2.4,23,10,13,69.7,16.45,13.95,12.84,1.11,52.07,-0.78,11,5,-6,53,7.21,1.13,0.15,8.7,106.63,51.11,26.71,26.9,54.29,28.6,50.11
"AARON.JOHNSON","2009-2010","CGY/EDM","D",41,538.09,2,4,6,5,0.67,0.56,1.98,0.22,465,548,-83,45.9,-0.82,18,25,-7,41.86,-12.43,19.2,23.01,-3.81,45.49,-0.46,11,5,-6,70,7.81,1.55,0.17,6.9,98.44,44.85,28.86,26.44,46.68,28.36,49.28
"AARON.MACKENZIE","2008-2009","COL","D",5,64.25,0,0,0,0,0,0,1.32,1.23,55,45,10,55,14.79,1,0,1,100,50,2.35,1.54,0.81,60.41,18.48,0,1,1,8,7.47,0.31,0.29,0,103.23,51.85,26.55,25.12,45.84,27.65,49.07
"AARON.MILLER","2007-2008","VAN","D",57,783.38,1,6,7,2,0.54,0.15,2.17,0.17,565,678,-113,45.45,-2.59,29,33,-4,46.77,-8.13,25.41,25.99,-0.58,49.44,1.55,8,4,-4,62,4.75,1.41,0.11,4,100.36,40.52,32.3,26.95,48.63,28.66,49.99
"AARON.ROME","2007-2008","CBJ","D",17,251.49,1,1,2,1,0.48,0.24,1.77,0.42,186,194,-8,48.95,-6.61,6,9,-3,40,-8.48,7.95,7.85,0.1,50.32,-4.63,8,5,-3,27,6.44,0.55,0.13,7.69,97.02,40.19,33.6,27.07,52.82,28.24,51.39
"AARON.ROME","2008-2009","CBJ","D",8,109.9,0,1,1,1,0.55,0.55,2.7,1.47,96,72,24,57.14,9.63,4,3,1,57.14,4.97,3.85,2.9,0.95,57.04,7.72,0,0,0,13,7.1,0.26,0.14,0,98.81,74.14,27.88,25.96,51.46,28.59,50.35
"AARON.ROME","2009-2010","VAN","D",49,644.38,0,4,4,1,0.37,0.09,5.88,0.55,580,577,3,50.13,-1.39,22,30,-8,42.31,-13.34,22.32,24.42,-2.1,47.75,-2.53,9,4,-5,102,9.5,1.59,0.15,0,97.48,42.9,29.43,28.13,51.63,28.82,49.45
"AARON.ROME","2010-2011","VAN","D",56,819.1,0,1,1,1,0.07,0.07,4.08,0.3,717,723,-6,49.79,-4.52,28,28,0,50,-4.35,30.74,33.25,-2.51,48.04,-4.98,16,2,-14,96,7.03,2.25,0.16,0,100.8,44.76,31.38,27.22,52.06,28.8,49.43
"AARON.VOLPATTI","2010-2011","VAN","L",15,97.28,1,1,2,2,1.23,1.23,1,0.62,72,84,-12,46.15,-8.99,2,3,-1,40,-23.46,2.66,3.22,-0.56,45.24,-5.48,5,3,-2,11,6.78,0.28,0.17,16.67,97.05,37.93,14.03,26.14,48.01,27.41,48.02
"AARON.VOROS","2007-2008","MIN","L",54,405.93,7,6,13,12,1.92,1.77,4.73,0.7,284,390,-106,42.14,-7.8,16,20,-4,44.44,-2.07,11.44,14.29,-2.85,44.46,-1.6,34,22,-12,64,9.46,3.73,0.55,18.42,101.7,42.06,17.01,29.6,49.73,28.57,49.84
"AARON.VOROS","2008-2009","NYR","L",54,504.27,5,8,13,11,1.55,1.31,15.38,1.83,493,409,84,54.66,2.72,19,22,-3,46.34,2.16,23.18,23.32,-0.14,49.85,-1.56,31,22,-9,81,9.64,4.72,0.56,10.42,97.82,60.44,21.13,29.75,51.53,28.58,49.84
