Player,Season,Team,Position,GP,TOI,G,A,P,P1,P/60,P1/60,GS,GS/60,CF,CA,C+/-,CF%,Rel CF%,GF,GA,G+/-,GF%,Rel GF%,xGF,xGA,xG+/-,xGF%,Rel xGF%,iPENT,iPEND,iP+/-,iCF,iCF/60,ixGF,ixGF/60,iSh%,PDO,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC
ALEX.OVECHKIN,2009-2010,WSH,L,72,1125.45,32,33,65,56,3.47,2.99,89.54,4.77,1330,967,363,57.9,7.67,79,34,45,69.91,12.92,51.23,40.64,10.59,55.76,7.37,22,21,-1,523,27.88,17.63,0.94,13.01,105.18,55.93,33.81,31.39,50.5,29.88,49.65
ALEX.OVECHKIN,2010-2011,WSH,L,78,1231.42,17,30,47,38,2.29,1.85,64.13,3.12,1324,1132,192,53.91,4.11,56,41,15,57.73,8.94,54.76,42.7,12.06,56.19,6.81,17,28,11,478,23.29,17.6,0.86,7.39,101.01,50.93,33.53,31.27,49.3,29.76,49.79
ALEX.OVECHKIN,2011-2012,WSH,L,78,1193.79,19,15,34,27,1.71,1.36,36.11,1.81,1099,1217,-118,47.45,-2.36,48,50,-2,48.98,-2.71,42.07,46.12,-4.05,47.7,-3.55,12,21,9,423,21.26,17.3,0.87,9.22,100.91,52.25,31.84,30.03,49.19,29.45,49.61
ALEX.OVECHKIN,2012-2013,WSH,L,48,735.92,14,13,27,24,2.2,1.96,30.69,2.5,706,729,-23,49.2,0.72,37,32,5,53.62,3.16,28.86,29.27,-0.41,49.65,1.12,15,22,7,266,21.69,10.95,0.89,10.45,102.22,53.89,32.14,30.25,48.87,29.95,49.62
ALEX.OVECHKIN,2013-2014,WSH,L,78,1123.8,20,9,29,27,1.55,1.44,33.53,1.79,1110,1142,-32,49.29,2.4,33,61,-28,35.11,-16.27,39.28,48.38,-9.1,44.81,-4.42,16,20,4,452,24.13,15.52,0.83,8.97,96.31,59.37,30.22,31,47.35,29.7,49.88
ALEX.OVECHKIN,2014-2015,WSH,L,81,1215.98,20,16,36,33,1.78,1.63,53.03,2.62,1278,1106,172,53.61,3.25,53,49,4,51.96,-1.18,48.22,44.01,4.21,52.28,-0.49,23,24,1,469,23.14,18.61,0.92,9.13,99.83,58.11,31.68,30.67,50.24,29.6,49.94
ALEX.OVECHKIN,2015-2016,WSH,L,79,1184.17,27,13,40,29,2.03,1.47,57.44,2.91,1223,1078,145,53.15,3.47,59,34,25,63.44,10,48.06,38.7,9.36,55.39,4.83,19,18,-1,452,22.9,18.6,0.94,11.64,102.74,51.49,31.07,31.69,50.35,29.79,49.78
ALEX.OVECHKIN,2016-2017,WSH,L,82,1136.15,14,26,40,28,2.11,1.48,45.06,2.38,1144,1135,9,50.2,-2.35,59,43,16,57.84,-5.45,48.11,48.39,-0.28,49.85,-2.36,24,21,-3,370,19.54,16.24,0.86,7.25,102.4,57.67,29.07,30.53,53.24,29.62,49.91
ALEX.OVECHKIN,2017-2018,WSH,L,82,1223.53,27,21,48,39,2.35,1.91,54.53,2.67,1256,1232,24,50.48,3.73,66,53,13,55.46,4.72,56.08,57.16,-1.08,49.52,4.11,9,12,3,420,20.6,20.43,1,12.39,101.93,58.21,30.94,31.19,47.1,29.58,50.07
ALEX.OVECHKIN,2018-2019,WSH,L,15,222.1,6,1,7,6,1.89,1.62,5.21,1.41,194,246,-52,44.09,-5.13,11,12,-1,47.83,-3.46,9.16,13.41,-4.25,40.58,-6.58,1,2,1,71,19.18,3.27,0.88,18.18,101.83,62.91,31.01,30.92,50.7,29.66,50.32
ANZE.KOPITAR,2009-2010,L.A,C,82,1230.57,18,18,36,25,1.76,1.22,49.02,2.39,1212,1034,178,53.96,4.99,49,45,4,52.13,1.28,50.22,41.65,8.57,54.66,5.55,7,12,5,293,14.29,14.8,0.72,10.53,99.08,51.79,32.73,31.1,49.48,30.09,50.11
ANZE.KOPITAR,2010-2011,L.A,C,75,1113.8,17,33,50,39,2.69,2.1,60.62,3.27,1135,970,165,53.92,3.41,62,32,30,65.96,19.85,45.31,36.91,8.4,55.11,4.63,9,15,6,267,14.38,14.97,0.81,11.26,104.41,51.58,31.68,31,49.21,29.93,49.91
ANZE.KOPITAR,2011-2012,L.A,C,82,1189.46,14,27,41,30,2.07,1.51,62.88,3.17,1362,977,385,58.23,5.25,53,45,8,54.08,6.64,50.63,38.14,12.49,57.04,6.16,8,16,8,275,13.87,14.47,0.73,9.21,98.9,51.66,31.25,31.62,52.54,30.1,50.03
ANZE.KOPITAR,2012-2013,L.A,C,47,706.9,10,14,24,20,2.04,1.7,40.91,3.47,789,498,291,61.31,7.46,35,21,14,62.5,14.93,30.72,21.38,9.34,58.96,5.72,5,7,2,130,11.03,6.38,0.54,13.16,100.97,56.21,31.56,31.71,53.07,29.76,49.61
ANZE.KOPITAR,2013-2014,L.A,C,82,1169.19,18,20,38,30,1.95,1.54,68.28,3.5,1320,844,476,61,6.13,56,25,31,69.14,21.11,54.32,34.05,20.27,61.47,9.13,9,15,6,235,12.06,13.6,0.7,12.77,102.63,52.16,30.69,30.71,54.59,29.9,49.83
ANZE.KOPITAR,2014-2015,L.A,C,79,1083.91,10,24,34,25,1.88,1.38,52.98,2.93,1148,790,358,59.24,5.21,45,37,8,54.88,-1.14,43.28,31.95,11.33,57.53,3.62,4,13,9,179,9.91,8.79,0.49,10,98.71,52.75,28.36,31.08,54.34,29.49,49.71
ANZE.KOPITAR,2015-2016,L.A,C,81,1210.09,13,31,44,31,2.18,1.54,62.47,3.1,1274,944,330,57.44,1.49,60,36,24,62.5,13.72,51.53,39.22,12.31,56.78,2.99,7,20,13,201,9.97,12.62,0.63,12.04,102.51,52.16,31.1,31.03,56.36,29.36,49.59
ANZE.KOPITAR,2016-2017,L.A,C,76,1128.2,7,19,26,18,1.38,0.96,38.01,2.02,1143,951,192,54.58,-1.06,39,43,-4,47.56,-0.87,47.77,38.69,9.08,55.25,0.88,10,20,10,185,9.84,10.59,0.56,7.22,98.37,51.79,30.56,30.21,54.63,29.48,49.84
ANZE.KOPITAR,2017-2018,L.A,C,82,1278.64,19,26,45,35,2.11,1.64,51.33,2.41,1241,1141,100,52.1,3.03,58,45,13,56.31,5.21,47.99,49.36,-1.37,49.3,1.93,7,11,4,226,10.61,11.85,0.56,15.57,101.49,45.89,32.48,31.73,49.74,30.08,50.2
ANZE.KOPITAR,2018-2019,L.A,C,15,238.43,3,0,3,3,0.75,0.75,4.74,1.19,216,237,-21,47.68,-3.04,11,9,2,55,22.86,8.12,8.66,-0.54,48.39,-0.53,0,3,3,42,10.57,2.32,0.58,11.11,101.45,35.33,33.15,32.02,54.3,29.85,49.23
BLAKE.WHEELER,2009-2010,BOS,R,82,975.47,14,13,27,23,1.66,1.41,34.19,2.1,947,810,137,53.9,1.72,39,43,-4,47.56,-1.1,38.89,31.97,6.92,54.88,3.67,18,10,-8,219,13.47,11.33,0.7,11.86,98.93,52.28,24.95,30.17,50.92,29.17,49.81
BLAKE.WHEELER,2010-2011,BOS/ATL,R,81,1048.04,18,19,37,29,2.12,1.66,43.68,2.5,1090,1000,90,52.15,0.66,46,35,11,56.79,4.06,46.83,41.63,5.2,52.94,4.84,17,8,-9,245,14.03,12.91,0.74,11.54,101.1,53.31,27.13,30.18,49.63,29.11,50.02
BLAKE.WHEELER,2011-2012,WPG,R,80,1231.1,11,30,41,30,2,1.46,50.99,2.49,1314,1153,161,53.26,4.52,61,61,0,50,1.41,59.88,50.99,8.89,54.01,5.02,17,20,3,298,14.52,16.96,0.83,6.36,98.99,57.67,32.45,32,49.76,29.48,49.51
BLAKE.WHEELER,2012-2013,WPG,R,48,719.65,13,13,26,22,2.17,1.83,27.52,2.29,736,734,2,50.07,0.88,35,39,-4,47.3,0.24,31.55,31.43,0.12,50.1,2.25,6,9,3,180,15.01,9.25,0.77,13,99,48.53,30.56,32.28,49.3,30.1,50.09
BLAKE.WHEELER,2013-2014,WPG,R,82,1150.5,15,26,41,32,2.14,1.67,45.75,2.39,1105,1107,-2,49.95,-0.16,50,44,6,53.19,6.62,47.96,43.1,4.86,52.67,2.47,12,22,10,299,15.59,14.39,0.75,8.88,100.6,53.18,29.64,31.08,50.63,29.58,50.13
